CustomerID,Lookalike1,Lookalike2,Lookalike3
C0001,"('C0164', np.float64(0.9975983724345929))","('C0103', np.float64(0.9953941278099471))","('C0069', np.float64(0.9860733836106331))"
C0002,"('C0029', np.float64(0.9997537292562625))","('C0031', np.float64(0.9989862771052472))","('C0077', np.float64(0.994312726345747))"
C0003,"('C0176', np.float64(0.9029496971526534))","('C0027', np.float64(0.8751211681188946))","('C0010', np.float64(0.8329653020982932))"
C0004,"('C0075', np.float64(0.9977891220712191))","('C0165', np.float64(0.9944415111703248))","('C0113', np.float64(0.993976488501688))"
C0005,"('C0123', np.float64(0.9997808088942964))","('C0131', np.float64(0.9996277242039578))","('C0058', np.float64(0.9995605582180777))"
C0006,"('C0079', np.float64(0.9998815163910635))","('C0117', np.float64(0.9895248604182533))","('C0196', np.float64(0.9452522588894806))"
C0007,"('C0125', np.float64(0.9980316823166858))","('C0140', np.float64(0.9979601864953596))","('C0092', np.float64(0.9979042974085808))"
C0008,"('C0179', np.float64(0.9981992905794519))","('C0081', np.float64(0.9950291061097487))","('C0084', np.float64(0.9929308812562458))"
C0009,"('C0192', np.float64(0.9987781413090145))","('C0083', np.float64(0.9957180831913479))","('C0177', np.float64(0.9932099747861437))"
C0010,"('C0142', np.float64(0.9646368112917465))","('C0029', np.float64(0.9565195372684344))","('C0027', np.float64(0.9535114266035424))"
C0011,"('C0096', np.float64(0.9945642053273775))","('C0171', np.float64(0.9926440431727047))","('C0064', np.float64(0.9883566901799368))"
C0012,"('C0068', np.float64(0.9996082087158923))","('C0065', np.float64(0.999174203190667))","('C0102', np.float64(0.9979890553233046))"
C0013,"('C0188', np.float64(0.9993465146352909))","('C0059', np.float64(0.9991582178910704))","('C0022', np.float64(0.9989032273910522))"
C0014,"('C0033', np.float64(0.9996370179530534))","('C0186', np.float64(0.9994742841579195))","('C0095', np.float64(0.9994541877070586))"
C0015,"('C0058', np.float64(0.9999892357705313))","('C0131', np.float64(0.9999662761198869))","('C0005', np.float64(0.9995277437257132))"
C0016,"('C0107', np.float64(0.9872482628237114))","('C0152', np.float64(0.8471016394991449))","('C0183', np.float64(0.8353265541195464))"
C0017,"('C0113', np.float64(0.9985496611305837))","('C0162', np.float64(0.997668547378708))","('C0124', np.float64(0.997148152633162))"
C0018,"('C0182', np.float64(0.9846969240377399))","('C0148', np.float64(0.9788850159674236))","('C0200', np.float64(0.9740264833768648))"
C0019,"('C0172', np.float64(0.985929816439122))","('C0116', np.float64(0.9576819671943043))","('C0157', np.float64(0.8528014523164061))"
C0020,"('C0080', np.float64(0.9998941335299402))","('C0167', np.float64(0.9993416605407588))","('C0063', np.float64(0.9993264511960818))"
